seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr20	34359675	34359832	158	*	X368	51230	34359923	34538288	178366	+	90	upstream	90	PHF20
chr20	35402193	35402340	148	*	X369	79980	35380194	35402230	22037	-	0	overlapStart	0	DSN1
chr20	35724375	35724611	237	*	X370	5933	35626178	35724410	98233	-	0	overlapStart	0	RBL1
chr20	47894976	47895198	223	*	X372	100113393	47896850	47896952	103	+	1651	upstream	1651	SNORD12B
chr20	47894976	47895198	223	*	X372	26765	47895482	47895560	79	+	283	upstream	283	SNORD12C
chr20	47894976	47895198	223	*	X372	441951	47894715	47905795	11081	+	0	inside	260	ZFAS1
chr20	47894976	47895198	223	*	X372	57169	47862439	47894756	32318	-	219	upstream	219	ZNFX1
chr21	37442079	37442110	32	*	X375	873	37442285	37445464	3180	+	174	upstream	174	CBR1
chr21	43187386	43187450	65	*	X376	54101	43159529	43187249	27721	-	136	upstream	136	RIPK4
chr7	4681952	4681960	9	*	X378	221937	4683388	4811074	127687	+	1427	upstream	1427	FOXK1
chr7	5821353	5821512	160	*	X379	54476	5659672	5821361	161690	-	0	overlapStart	0	RNF216
chr7	11013270	11013296	27	*	X380	9678	11013499	11209250	195752	+	202	upstream	202	PHF14
chr7	17338021	17338028	8	*	X381	196	17338276	17385775	47500	+	247	upstream	247	AHR
chr7	23571478	23571646	169	*	X382	29896	23544401	23571656	27256	-	0	inside	9	TRA2A
chr7	26240401	26240540	140	*	X383	11335	26240831	26253227	12397	+	290	upstream	290	CBX3
chr7	26240401	26240540	140	*	X383	3181	26229556	26240413	10858	-	0	overlapStart	0	HNRNPA2B1
chr7	26240585	26240884	300	*	X384	11335	26240831	26253227	12397	+	0	overlapStart	0	CBX3
chr7	26240585	26240884	300	*	X384	3181	26229556	26240413	10858	-	171	upstream	171	HNRNPA2B1
chr7	27187767	27188051	285	*	X385	3203	27185202	27187393	2192	-	373	upstream	373	HOXA6
chr7	30544619	30544823	205	*	X386	79017	30536237	30544457	8221	-	161	upstream	161	GGCT
chr7	39988884	39989064	181	*	X387	8621	39989959	40136733	146775	+	894	upstream	894	CDK13
chr7	42971709	42971798	90	*	X388	5683	42956462	42971805	15344	-	0	inside	6	PSMA2
chr7	42971709	42971798	90	*	X388	64983	42971939	42977453	5515	+	140	upstream	140	MRPL32
chr7	42971709	42971798	90	*	X388	79020	42948872	42971805	22934	-	0	inside	6	C7orf25
chr7	45151101	45151464	364	*	X390	9238	45139699	45151346	11648	-	0	overlapStart	0	TBRG4
chr7	56174105	56174444	340	*	X391	51142	56169266	56174187	4922	-	0	overlapStart	0	CHCHD2
chr7	66309812	66310060	249	*	X392	729156	66274980	66309813	34834	-	0	overlapStart	0	GTF2IRD1P1
chr7	99517184	99517397	214	*	X394	89122	99488030	99517223	29194	-	0	overlapStart	0	TRIM4
chr7	100026240	100026612	373	*	X395	55063	99998495	100026431	27937	-	0	overlapStart	0	ZCWPW1
chr7	100026240	100026612	373	*	X395	56257	100026413	100031749	5337	+	0	overlapStart	0	MEPCE
chr7	100027005	100027115	111	*	X396	55063	99998495	100026431	27937	-	573	upstream	573	ZCWPW1
chr7	100027181	100027468	288	*	X397	55063	99998495	100026431	27937	-	749	upstream	749	ZCWPW1
chr7	100769507	100769616	110	*	X398	5054	100770370	100782547	12178	+	753	upstream	753	SERPINE1
chr7	100797486	100797625	140	*	X399	1174	100797686	100804557	6872	+	60	upstream	60	AP1S1
chr7	104653547	104653628	82	*	X400	55904	104654637	104754532	99896	+	1008	upstream	1008	KMT2E
chr7	106809341	106809419	79	*	X401	26959	106809406	106842974	33569	+	0	overlapStart	0	HBP1
chr7	135662125	135662328	204	*	X402	767558	135611503	135662204	50702	-	0	overlapStart	0	LUZP6
chr7	138144558	138144715	158	*	X404	8805	138145079	138270332	125254	+	363	upstream	363	TRIM24
chr7	138915809	138916029	221	*	X405	254048	138916231	138992982	76752	+	201	upstream	201	UBN2
chr7	142985061	142985242	182	*	X406	835	142985308	143004789	19482	+	65	upstream	65	CASP2
chr7	151216946	151217098	153	*	X407	6009	151163098	151217010	53913	-	0	overlapStart	0	RHEB
chr6	34855737	34855966	230	*	X417	23294	34857038	35085320	228283	+	1071	upstream	1071	ANKS1A
chr6	34855737	34855966	230	*	X417	6882	34845555	34855848	10294	-	0	overlapStart	0	TAF11
chr6	36514944	36515190	247	*	X418	11329	36461669	36515247	53579	-	0	inside	56	STK38
chr6	36561987	36562099	113	*	X419	6428	36562090	36572244	10155	+	0	overlapStart	0	SRSF3
chr6	43021772	43021783	12	*	X420	9820	43005355	43021683	16329	-	88	upstream	88	CUL7
chr6	43138403	43138429	27	*	X421	6722	43138920	43149244	10325	+	490	upstream	490	SRF
chr6	71122886	71123027	142	*	X422	57579	71123107	71270877	147771	+	79	upstream	79	FAM135A
chr6	74230765	74230966	202	*	X423	1915	74225473	74230755	5283	-	9	upstream	9	EEF1A1
chr6	86388471	86388526	56	*	X424	26799	86387012	86387086	75	-	1384	upstream	1384	SNORD50A
chr6	86388471	86388526	56	*	X424	387066	86386725	86388451	1727	-	19	upstream	19	SNHG5
chr6	86388471	86388526	56	*	X424	692088	86387307	86387377	71	-	1093	upstream	1093	SNORD50B
chr6	119215217	119215325	109	*	X427	25842	119215241	119230335	15095	+	0	overlapStart	0	ASF1A
chr5	16936134	16936237	104	*	X432	4651	16662016	16936385	274370	-	0	inside	147	MYO10
chr5	43313693	43313965	273	*	X433	3157	43287572	43313614	26043	-	78	upstream	78	HMGCS1
chr5	56469691	56470016	326	*	X434	65056	56469775	56560506	90732	+	0	overlapStart	0	GPBP1
chr5	61699878	61699963	86	*	X435	27292	61684351	61699728	15378	-	149	upstream	149	DIMT1
chr5	90675832	90675942	111	*	X436	100129716	90676164	90716532	40369	+	221	upstream	221	ARRDC3-AS1
chr5	111496371	111496404	34	*	X437	114915	111496223	111498198	1976	+	0	inside	147	EPB41L4A-AS1
chr5	111496371	111496404	34	*	X437	654322	111497182	111497314	133	+	777	upstream	777	SNORA13
chr5	114880672	114880811	140	*	X438	56929	114856608	114880591	23984	-	80	upstream	80	FEM1C
chr5	132202161	132202519	359	*	X439	2661	132196878	132202576	5699	-	0	inside	56	GDF9
chr5	132202161	132202519	359	*	X439	27089	132202319	132204536	2218	+	0	overlapStart	0	UQCRQ
chr5	140027397	140027420	24	*	X440	3550	140027384	140042065	14682	+	0	inside	12	IK
chr5	140027397	140027420	24	*	X440	4695	140024948	140027370	2423	-	26	upstream	26	NDUFA2
chr5	140855500	140855636	137	*	X441	5098	140855569	140892548	36980	+	0	overlapStart	0	PCDHGC3
chr5	145562096	145562242	147	*	X442	51520	145492589	145562294	69706	-	0	inside	51	LARS1
chr5	158636848	158636886	39	*	X443	153830	158584417	158637061	52645	-	0	inside	174	RNF145
chr5	170814697	170814875	179	*	X444	100500831	170813660	170813764	105	-	932	upstream	932	MIR3912
chr5	170814697	170814875	179	*	X444	4869	170814708	170837888	23181	+	0	overlapStart	0	NPM1
chr5	175815732	175815802	71	*	X445	192286	175815784	175816751	968	+	0	overlapStart	0	HIGD2A
chr5	175815732	175815802	71	*	X445	51491	175810940	175815763	4824	-	0	overlapStart	0	NOP16
chr5	175815892	175815993	102	*	X446	192286	175815784	175816751	968	+	0	inside	107	HIGD2A
chr5	175815892	175815993	102	*	X446	51491	175810940	175815763	4824	-	128	upstream	128	NOP16
chr5	176943798	176944127	330	*	X447	51428	176938578	176943967	5390	-	0	overlapStart	0	DDX41
chr5	177631414	177631637	224	*	X448	3182	177631508	177638184	6677	+	0	overlapStart	0	HNRNPAB
chr5	178157840	178157989	150	*	X449	6940	178138522	178157703	19182	-	136	upstream	136	ZNF354A
chr5	179921079	179921237	159	*	X450	57472	179921417	180005353	83937	+	179	upstream	179	CNOT6
chr4	17812227	17812434	208	*	X453	54876	17802278	17812381	10104	-	0	overlapStart	0	DCAF16
chr4	17812227	17812434	208	*	X453	64151	17812436	17846487	34052	+	1	upstream	1	NCAPG
chr4	78077697	78077854	158	*	X454	901	78078357	78091213	12857	+	502	upstream	502	CCNG2
chr4	83295199	83295243	45	*	X455	3184	83274467	83295149	20683	-	49	upstream	49	HNRNPD
chr4	83350544	83350647	104	*	X456	58478	83351726	83382244	30519	+	1078	upstream	1078	ENOPH1
chr4	103940630	103940652	23	*	X458	150159	103806205	103940896	134692	-	0	inside	243	SLC9B1
chr4	120133559	120133611	53	*	X459	54532	120133782	120216673	82892	+	170	upstream	170	USP53
chr4	174255513	174255669	157	*	X462	3148	174252527	174255595	3069	-	0	overlapStart	0	HMGB2
chr4	186130514	186130562	49	*	X463	83891	186131284	186291339	160056	+	721	upstream	721	SNX25
chr3	8543513	8543583	71	*	X464	100288428	8235936	8543344	307409	-	168	upstream	168	LMCD1-AS1
chr3	8543513	8543583	71	*	X464	29995	8543493	8609811	66319	+	0	inside	19	LMCD1
chr3	10289934	10290002	69	*	X465	9797	10290177	10327537	37361	+	174	upstream	174	TATDN2
chr3	14220328	14220352	25	*	X468	27258	14220228	14239869	19642	+	0	inside	99	LSM3
chr3	14220328	14220352	25	*	X468	7508	14186648	14220172	33525	-	155	upstream	155	XPC
chr3	19988518	19988769	252	*	X469	151651	19920966	19988501	67536	-	16	upstream	16	EFHB
chr3	19988518	19988769	252	*	X469	5868	19988572	20026667	38096	+	0	overlapStart	0	RAB5A
chr3	33482208	33482309	102	*	X470	7342	33429829	33481897	52069	-	310	upstream	310	UBP1
chr3	37901790	37901932	143	*	X471	10217	37903669	38025960	122292	+	1736	upstream	1736	CTDSPL
chr3	45730589	45730850	262	*	X472	22908	45730754	45786900	56147	+	0	overlapStart	0	SACM1L
chr3	45730589	45730850	262	*	X472	644714	45719657	45730374	10718	-	214	upstream	214	LIMD1-AS1
chr3	57583428	57583519	92	*	X475	378	57557090	57583215	26126	-	212	upstream	212	ARF4
chr3	100428068	100428096	29	*	X477	10342	100428134	100467811	39678	+	37	upstream	37	TFG
chr3	113775481	113775759	279	*	X479	57577	113682984	113775460	92477	-	20	upstream	20	CCDC191
chr3	113775481	113775759	279	*	X479	79691	113775582	113807268	31687	+	0	overlapStart	0	QTRT2
chr3	148847236	148847260	25	*	X481	84343	148847371	148891305	43935	+	110	upstream	110	HPS3
chr3	158288996	158289086	91	*	X482	4291	158288953	158324249	35297	+	0	inside	42	MLF1
chr3	160117111	160117213	103	*	X483	10051	160117430	160152741	35312	+	216	upstream	216	SMC4
chr3	160167205	160167601	397	*	X484	286827	160153291	160167626	14336	-	0	inside	24	TRIM59
chr3	160167205	160167601	397	*	X484	57560	159945241	160167626	222386	-	0	inside	24	IFT80
chr3	170626587	170626622	36	*	X486	56648	170606204	170626426	20223	-	160	upstream	160	EIF5A2
chr3	171178126	171178293	168	*	X487	23043	170780292	171178197	397906	-	0	overlapStart	0	TNIK
chr3	185655714	185655852	139	*	X489	6434	185632358	185655924	23567	-	0	inside	71	TRA2B
chr3	185655947	185656062	116	*	X490	6434	185632358	185655924	23567	-	22	upstream	22	TRA2B
chr2	25195043	25195175	133	*	X493	51277	25166505	25194963	28459	-	79	upstream	79	DNAJC27
chr2	25195043	25195175	133	*	X493	729723	25194981	25262563	67583	+	0	inside	61	DNAJC27-AS1
chr2	27579682	27579902	221	*	X496	2976	27548716	27579901	31186	-	0	overlapStart	0	GTF3C2
chr2	27579996	27580068	73	*	X497	2976	27548716	27579901	31186	-	94	upstream	94	GTF3C2
chr2	27593353	27593612	260	*	X498	8890	27587219	27593324	6106	-	28	upstream	28	EIF2B4
chr2	27593353	27593612	260	*	X498	9784	27593363	27600400	7038	+	0	overlapStart	0	SNX17
chr2	27805638	27805871	234	*	X499	84450	27805836	27858101	52266	+	0	overlapStart	0	ZNF512
chr2	44394949	44395014	66	*	X500	5495	44396000	44471523	75524	+	985	upstream	985	PPM1B
chr2	47403868	47403920	53	*	X501	285051	47293080	47403740	110661	-	127	upstream	127	STPG4
chr2	47403868	47403920	53	*	X501	805	47387221	47403740	16520	-	127	upstream	127	CALM2
chr2	61371983	61372280	298	*	X502	339803	61368727	61372110	3384	-	0	overlapStart	0	LOC339803
chr2	61371983	61372280	298	*	X502	339804	61372243	61391964	19722	+	0	overlapStart	0	C2orf74
chr2	61765247	61765630	384	*	X504	7514	61705069	61765418	60350	-	0	overlapStart	0	XPO1
chr2	70475865	70475971	107	*	X505	7072	70436576	70475779	39204	-	85	upstream	85	TIA1
chr2	73964556	73964718	163	*	X506	51002	73956957	73964517	7561	-	38	upstream	38	TPRKB
chr2	74425687	74425828	142	*	X507	10797	74425690	74442424	16735	+	0	overlapStart	0	MTHFD2
chr2	74734628	74734892	265	*	X508	84759	74732170	74734821	2652	-	0	overlapStart	0	PCGF1
chr2	85766274	85766284	11	*	X510	100630918	85764590	85766009	1420	-	264	upstream	264	PARTICL
chr2	85766274	85766284	11	*	X510	4144	85766101	85772403	6303	+	0	inside	172	MAT2A
chr2	86667879	86668070	192	*	X511	55818	86668271	86719839	51569	+	200	upstream	200	KDM3A
chr2	86668176	86668228	53	*	X512	55818	86668271	86719839	51569	+	42	upstream	42	KDM3A
chr2	86790573	86790721	149	*	X513	51652	86730553	86790620	60068	-	0	overlapStart	0	CHMP3
chr2	88990857	88990976	120	*	X514	22934	88991176	89050452	59277	+	199	upstream	199	RPIA
chr2	114361016	114361276	261	*	X517	84771	114356605	114359153	2549	-	1862	upstream	1862	DDX11L2
chr2	114514306	114514522	217	*	X519	80255	114471930	114514400	42471	-	0	overlapStart	0	SLC35F5
chr2	128051802	128051875	74	*	X520	2071	128014866	128051752	36887	-	49	upstream	49	ERCC3
chr2	135676136	135676454	319	*	X523	100129961	135624203	135676176	51974	-	0	overlapStart	0	CCNT2-AS1
chr2	135676136	135676454	319	*	X523	905	135676392	135716915	40524	+	0	overlapStart	0	CCNT2
chr2	172950191	172950239	49	*	X525	1745	172950208	172954401	4194	+	0	overlapStart	0	DLX1
chr2	232573198	232573235	38	*	X527	5757	232573235	232578250	5016	+	0	overlapStart	0	PTMA
chr1	20208692	20208867	176	*	X531	23252	20208888	20239437	30550	+	20	upstream	20	OTUD3
chr1	28240810	28241411	602	*	X534	6118	28218049	28241236	23188	-	0	overlapStart	0	RPA2
chr1	28832492	28832572	81	*	X535	1104	28832455	28865708	33254	+	0	inside	36	RCC1
chr1	28832492	28832572	81	*	X535	8420	28832455	28837404	4950	+	0	inside	36	SNHG3
chr1	29211574	29211712	139	*	X536	2035	29213603	29446558	232956	+	1890	upstream	1890	EPB41
chr1	31190883	31190986	104	*	X537	100129196	31191619	31199593	7975	+	632	upstream	632	MATN1-AS1
chr1	33430614	33430665	52	*	X538	127544	33402050	33430286	28237	-	327	upstream	327	RNF19B
chr1	33502518	33502694	177	*	X539	204	33473541	33502512	28972	-	5	upstream	5	AK2
chr1	35497437	35497632	196	*	X540	9204	35449368	35497569	48202	-	0	overlapStart	0	ZMYM6
chr1	35734170	35734324	155	*	X541	9202	35734568	35887545	152978	+	243	upstream	243	ZMYM4
chr1	38061320	38061578	259	*	X543	29889	38032413	38061586	29174	-	0	inside	7	GNL2
chr1	45205217	45205221	5	*	X544	11004	45205490	45233438	27949	+	268	upstream	268	KIF2C
chr1	45452263	45452478	216	*	X545	8891	45316194	45452394	136201	-	0	overlapStart	0	EIF2B3
chr1	45805580	45805621	42	*	X546	114034	45805342	45809650	4309	+	0	inside	237	TOE1
chr1	46152468	46152503	36	*	X547	51249	46153847	46160108	6262	+	1343	upstream	1343	TMEM69
chr1	46152468	46152503	36	*	X547	60313	46092976	46152302	59327	-	165	upstream	165	GPBP1L1
chr1	46152614	46152715	102	*	X548	51249	46153847	46160108	6262	+	1131	upstream	1131	TMEM69
chr1	46152614	46152715	102	*	X548	60313	46092976	46152302	59327	-	311	upstream	311	GPBP1L1
chr1	67896047	67896069	23	*	X550	26135	67873493	67896123	22631	-	0	inside	53	SERBP1
chr1	104068036	104068057	22	*	X551	55599	104068578	104097859	29282	+	520	upstream	520	RNPC3
chr1	111506798	111506827	30	*	X552	55791	111489812	111506566	16755	-	231	upstream	231	LRIF1
chr1	146644364	146644445	82	*	X553	5565	146626685	146644129	17445	-	234	upstream	234	PRKAB2
chr1	151171031	151171067	37	*	X554	8394	151171021	151222007	50987	+	0	inside	9	PIP5K1A
chr1	152878521	152879153	633	*	X557	3713	152881039	152884362	3324	+	1885	upstream	1885	IVL
chr1	152880828	152881051	224	*	X558	3713	152881039	152884362	3324	+	0	overlapStart	0	IVL
chr1	153606931	153607098	168	*	X562	6284	153591276	153606568	15293	-	362	upstream	362	S100A13
chr1	154531630	154531651	22	*	X563	55585	154521051	154531120	10070	-	509	upstream	509	UBE2Q1
chr1	155214423	155214645	223	*	X564	2629	155204239	155214653	10415	-	0	inside	7	GBA
chr1	160312992	160313088	97	*	X565	1314	160258377	160313354	54978	-	0	inside	265	COPA
chr1	160312992	160313088	97	*	X565	23385	160313063	160328742	15680	+	0	overlapStart	0	NCSTN
chr1	167905623	167905718	96	*	X567	55827	167905797	168045083	139287	+	78	upstream	78	DCAF6
chr1	167905794	167905950	157	*	X568	55827	167905797	168045083	139287	+	0	overlapStart	0	DCAF6
chr1	171750730	171750842	113	*	X569	51603	171750761	171766856	16096	+	0	overlapStart	0	EEF1AKNMT
chr1	173837114	173837230	117	*	X570	26806	173835106	173835166	61	-	1947	upstream	1947	SNORD44
chr1	173837114	173837230	117	*	X570	60674	173833039	173837125	4087	-	0	overlapStart	0	GAS5
chr1	173837114	173837230	117	*	X570	619498	173836812	173836883	72	-	230	upstream	230	SNORD74
chr1	173837114	173837230	117	*	X570	692195	173836017	173836076	60	-	1037	upstream	1037	SNORD75
chr1	173837114	173837230	117	*	X570	692196	173835773	173835853	81	-	1260	upstream	1260	SNORD76
chr1	173837114	173837230	117	*	X570	692197	173835449	173835509	61	-	1604	upstream	1604	SNORD77
chr1	173837114	173837230	117	*	X570	84614	173837220	173855774	18555	+	0	overlapStart	0	ZBTB37
chr1	186344958	186345027	70	*	X571	54953	186344890	186390503	45614	+	0	inside	67	ODR4
chr1	186344958	186345027	70	*	X571	7175	186280786	186344864	64079	-	93	upstream	93	TPR
chr1	227751107	227751143	37	*	X574	339500	227751220	227910352	159133	+	76	upstream	76	ZNF678
chr1	228353048	228353169	122	*	X575	200205	228353429	228369958	16530	+	259	upstream	259	IBA57
chr1	231473446	231473763	318	*	X576	149371	231468482	231473578	5097	-	0	overlapStart	0	EXOC8
chr1	231473446	231473763	318	*	X576	83932	231473682	231490769	17088	+	0	overlapStart	0	SPRTN
chr9	35657903	35657990	88	*	X579	203260	35658287	35661500	3214	+	296	upstream	296	CCDC107
chr9	35657903	35657990	88	*	X579	6023	35657748	35658015	268	-	0	inside	24	RMRP
chr9	74525875	74526242	368	*	X580	138241	74526423	74599390	72968	+	180	upstream	180	C9orf85
chr9	74525875	74526242	368	*	X580	51104	74477368	74526148	48781	-	0	overlapStart	0	ABHD17B
chr9	74980401	74980603	203	*	X581	7763	74966341	74980163	13823	-	237	upstream	237	ZFAND5
chr9	84304233	84304257	25	*	X582	7088	84198598	84303596	104999	-	636	upstream	636	TLE1
chr9	100684453	100684580	128	*	X587	51531	100666772	100684852	18081	-	0	inside	271	TRMO
chr9	110252639	110252720	82	*	X588	9314	110247133	110252047	4915	-	591	upstream	591	KLF4
chr9	113019315	113019508	194	*	X589	7295	113006092	113018920	12829	-	394	upstream	394	TXN
chr9	117350084	117350200	117	*	X590	9550	117349994	117361152	11159	+	0	inside	89	ATP6V1G1
chr9	123605600	123605729	130	*	X591	253039	123605320	123616651	11332	+	0	inside	279	CUTALP
chr9	123605600	123605729	130	*	X591	5711	123578332	123605299	26968	-	300	upstream	300	PSMD5
chr9	128003436	128003698	263	*	X592	3309	127997127	128003666	6540	-	0	overlapStart	0	HSPA5
chr9	128023851	128023868	18	*	X593	26130	128024111	128127290	103180	+	242	upstream	242	GAPVD1
chr9	130890805	130891059	255	*	X594	389791	130890808	130892913	2106	+	0	overlapStart	0	PTGES2-AS1
chr9	130890805	130891059	255	*	X594	80142	130882972	130890741	7770	-	63	upstream	63	PTGES2
chr9	131038561	131038682	122	*	X595	2801	131018108	131038268	20161	-	292	upstream	292	GOLGA2
chr9	131038561	131038682	122	*	X595	375757	131038425	131051268	12844	+	0	inside	135	SWI5
chr9	135820000	135820236	237	*	X598	7248	135766735	135820020	53286	-	0	overlapStart	0	TSC1
chr9	135906107	135906161	55	*	X600	9328	135906062	135933890	27829	+	0	inside	44	GTF3C5
chr9	136202862	136203068	207	*	X601	6838	136197552	136203047	5496	-	0	overlapStart	0	SURF6
chr8	71581536	71581662	127	*	X605	389668	71581600	71648177	66578	+	0	overlapStart	0	XKR9
chr8	71581536	71581662	127	*	X605	51110	71549501	71581447	31947	-	88	upstream	88	LACTB2
chr8	73921030	73921269	240	*	X606	7013	73921097	73959987	38891	+	0	overlapStart	0	TERF1
chr8	117887185	117887281	97	*	X607	100500914	117886967	117887039	73	-	145	upstream	145	MIR3610
chr8	117887185	117887281	97	*	X607	5885	117858173	117887105	28933	-	79	upstream	79	RAD21
chr8	120220226	120220350	125	*	X608	114569	120220610	120257914	37305	+	259	upstream	259	MAL2
chr8	143807958	143808160	203	*	X609	100288181	143783670	143808391	24722	-	0	inside	230	LNCOC1
chr8	143807958	143808160	203	*	X609	51337	143808621	143818350	9730	+	460	upstream	460	THEM6
chr8	143869668	143870050	383	*	X610	8581	143866298	143868008	1711	-	1659	upstream	1659	LY6D
chr8	144623849	144623871	23	*	X616	23144	144519825	144623620	103796	-	228	upstream	228	ZC3H3
